Date,Ticker,Close,Daily Return,RSI,MA50,MA200,RollingVol20,MACD,MACD_Signal,MACD_Hist,Panic,Momentum,Volatility,RSI_Overbought,RSI_Oversold,MarketRegime,PrimarySignal,PatternBase,BaseScore,PatternKey,ScoreAdjustment,FinalScore
2026-06-17,AAPL,295.95001220703125,-0.010994446379867,36.78583743578454,287.9578002929687,267.85164947509764,0.0157510508507768,1.3302250014076549,3.724425675617212,-2.394200674209557,PANIC,NO,NORMAL,NO,NO,BULL,PANIC,PANIC|BULL|NORMAL,58,,0.0,58.0
2026-06-17,AMD,512.47998046875,0.0102307789162154,49.11899774983313,404.9362014770507,259.2750002288818,0.0532069306904185,28.46699286948973,33.184442151800845,-4.717449282311115,NO,MOMENTUM,NORMAL,NO,NO,HIGH_VOLATILITY,MOMENTUM,MOMENTUM|HIGH_VOLATILITY|NORMAL,55,,0.0,55.0
2026-06-17,AMZN,237.5,-0.0345528455284552,22.34847206276264,256.6374005126953,232.7084001159668,0.020191796013524,-5.105740111983806,-3.1242683519104153,-1.9814717600733909,PANIC,NO,VOLATILE,NO,OVERSOLD,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-17,BAC,56.529998779296875,-0.0054539298462141,85.55556863751639,52.76499977111816,52.20260005950928,0.0122676583352999,1.2500367855886338,0.8393863748853945,0.4106504107032394,NO,NO,NORMAL,OVERBOUGHT,NO,BULL,OVERBOUGHT,OVERBOUGHT|BULL|NORMAL,18,,0.0,18.0
2026-06-17,COP,111.20999908447266,-0.0011675701247866,43.07184943467529,119.42460083007812,105.0796503829956,0.019056157552789,-1.868107892669343,-1.294660046726002,-0.5734478459433412,NO,NO,NORMAL,NO,NO,SIDEWAYS,NONE,NONE|SIDEWAYS|NORMAL,5,,0.0,5.0
2026-06-17,COST,965.5900268554688,-0.0213746766701111,39.80300909285818,1002.6605969238282,957.8843991088868,0.0145168615218825,-10.009824084221464,-10.155956783852366,0.1461326996309022,PANIC,NO,VOLATILE,NO,NO,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-17,CVX,177.5800018310547,-0.0140469644701753,41.66412664834745,187.38720092773437,171.7351501464844,0.0162279362281042,-1.9253059024542267,-1.0114492778181567,-0.91385662463607,PANIC,NO,NORMAL,NO,NO,SIDEWAYS,PANIC,PANIC|SIDEWAYS|NORMAL,55,,0.0,55.0
2026-06-17,DBC,27.709999084472656,-0.0068100550772561,26.682149664355578,29.848999900817873,25.42099995613098,0.0109623674122397,-0.5640259443724496,-0.3239470278125909,-0.2400789165598587,NO,NO,NORMAL,NO,NO,SIDEWAYS,NONE,NONE|SIDEWAYS|NORMAL,5,,0.0,5.0
2026-06-17,GDX,84.36000061035156,-0.0330123489676749,46.46084410892645,89.56279937744141,86.9821499633789,0.0381064337078042,-1.9800008326574812,-2.569380177681027,0.5893793450235458,PANIC,NO,VOLATILE,NO,NO,HIGH_VOLATILITY,PANIC,PANIC|HIGH_VOLATILITY|VOLATILE,65,,0.0,65.0
2026-06-17,GLD,388.6000061035156,-0.0227095507592747,36.45332532393919,419.2619976806641,407.8009501647949,0.0183372383205821,-8.9472642089749,-8.537709616321415,-0.4095545926534853,PANIC,NO,VOLATILE,NO,NO,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
