Date,Ticker,Close,DropPct,PrimarySignal,MarketRegime,Volatility,CrossAssetPattern,Bounce5D,Recovered5D,Bounce10D,Recovered10D,BounceStrength
2026-06-09,ETH-USD,1637.7066650390625,-3.1027979306495,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,5.306604538295911,True,4.474290689547248,True,BOUNCE
2026-06-08,IDEA,14.399999618530272,-3.67893108864126,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,3.819445870172881,True,3.6111143856873618,True,BOUNCE
2026-06-08,NMDC,89.58999633789062,-3.5629764624559397,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,-1.250134125425582,False,-0.8259826922847648,False,NO_BOUNCE
2026-06-08,SAIL,183.77999877929688,-3.55793391381218,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-0.6910459684930818,False,-3.036239997887781,False,NO_BOUNCE
2026-06-08,RVNL,228.22999572753903,-3.1322969584035096,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,5.025632666792861,True,8.671081328217367,True,STRONG_BOUNCE
2026-06-05,ETH-USD,1580.86083984375,-10.6646586284433,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_HIGH,2.484523272309792,True,13.543275688835228,True,STRONG_BOUNCE
2026-06-05,BTC-USD,60922.66796875,-4.51228090411904,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_HIGH,0.8644091129103667,True,8.809253123981522,True,STRONG_BOUNCE
2026-06-05,BSE,3880.0,-3.8032405924989297,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_HIGH,4.152064372583763,True,3.61340080339884,True,BOUNCE
2026-06-05,SAIL,190.55999755859375,-3.42101266206518,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,-3.395256771408012,False,-5.515320445784695,False,NO_BOUNCE
2026-06-04,^VIX,15.399999618530272,-4.10958822764433,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,26.233772828579525,True,6.493506654355611,True,STRONG_BOUNCE
2026-06-04,AMD,523.2000122070312,-3.5611602574429697,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-6.641819416901944,False,2.708330003736537,True,BOUNCE
2026-06-04,SAIL,197.30999755859375,-3.2177356725902397,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-8.08372466960557,False,-7.678269770382728,False,NO_BOUNCE
2026-06-03,TCS,2241.699951171875,-8.38611955378008,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-3.916672647569381,False,-0.8341861792029474,False,NO_BOUNCE
2026-06-03,RKLB,114.6999969482422,-6.98994710340061,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-8.413246864199058,False,-5.858756556324035,False,NO_BOUNCE
2026-06-03,PERSISTENT,5097.5,-6.81838954391738,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-3.325159391858754,False,-1.0299166257969592,False,NO_BOUNCE
2026-06-03,KPITTECH,774.25,-4.32499227679951,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-5.334192805033097,False,-2.8737487891507913,False,NO_BOUNCE
2026-06-03,BTC-USD,64014.3671875,-4.0316966320718,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-1.4430781468857272,False,0.6357276485417885,True,WEAK_BOUNCE
2026-06-03,INFY,1222.5999755859375,-3.79289198852608,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-6.3225853346484895,False,-5.308361337317942,False,NO_BOUNCE
2026-06-03,NVDA,214.75,-3.62176064040619,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,-6.672876289198923,False,-4.703146031904818,False,NO_BOUNCE
2026-06-03,GDX,85.0,-3.46394428852541,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-13.164708754595589,False,-0.7529404584099264,False,NO_BOUNCE
2026-06-03,MSFT,427.3399963378906,-3.16557551335516,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-7.015493808967843,False,-11.3328949058839,False,NO_BOUNCE
2026-06-02,ETH-USD,1857.71630859375,-7.26354550544448,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-9.222079149913936,False,-10.366948930019769,False,NO_BOUNCE
2026-06-02,BTC-USD,66703.65625,-6.47242267468118,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-5.193323594986595,False,-4.738056665746865,False,NO_BOUNCE
2026-06-02,MSFT,441.30999755859375,-4.1713697371142295,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-8.588066009416046,False,-10.758879528901698,False,NO_BOUNCE
2026-06-02,MA,477.6799926757813,-3.5477046591052304,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,3.676100700853992,True,4.951012028786482,True,BOUNCE
2026-06-02,BSE,3931.89990234375,-3.3123541060782697,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,1.6378887582053394,True,5.862305901088739,True,STRONG_BOUNCE
2026-06-01,RKLB,122.38999938964844,-14.69891062579861,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-7.141104589717603,False,-10.736170810668211,False,NO_BOUNCE
2026-06-01,IRDM,47.810001373291016,-7.66704808728805,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-0.6902359790331287,False,-5.061706576303318,False,NO_BOUNCE
2026-06-01,SUZLON,53.93000030517578,-5.36936529771538,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,0.9271277529587068,True,3.040977897956813,True,BOUNCE
