PatternFamily,Members,TotalEvents,AvgWinRate,AvgReturn10D,BestReturn10D,WorstReturn10D,FamilyScore,FamilyStrength
MOMENTUM|BULL|VOLATILE,3,187,56.35333333333333,0.39666666666666667,0.99,0.02,58.46,STRONG
MOMENTUM|BULL|NORMAL,2,81,60.385,0.6849999999999998,2.28,-0.91,54.61,MODERATE
OVERBOUGHT|BULL|NORMAL,2,94,43.93,-0.52,-0.05,-0.99,27.96,WEAK
