PrimarySignal,Trades,WinRate5D,AvgReturn5D,WinRate10D,AvgReturn10D,Period,TrainEndYear,TestYear,Status
OVERBOUGHT,6331,53.1,0.198,56.93,0.525,TRAIN,2018,2019,VALID
NONE,47400,53.61,0.203,54.16,0.415,TRAIN,2018,2019,WEAK
OVERSOLD,2942,53.6,0.339,53.67,0.513,TRAIN,2018,2019,WEAK
PANIC,23322,53.37,0.428,53.6,0.67,TRAIN,2018,2019,WEAK
MOMENTUM,24383,51.09,0.2,53.04,0.508,TRAIN,2018,2019,WEAK
OVERBOUGHT,596,56.54,1.227,64.26,2.899,TEST,2019,2020,VALID
MOMENTUM,4352,55.42,1.258,59.12,2.521,TEST,2019,2020,VALID
NONE,4458,54.93,0.853,56.39,1.542,TEST,2019,2020,VALID
PANIC,3995,53.69,0.4,56.3,1.168,TEST,2019,2020,VALID
OVERSOLD,218,52.29,0.611,52.29,0.008,TEST,2019,2020,WEAK
OVERBOUGHT,7201,53.37,0.201,57.27,0.528,TRAIN,2019,2020,VALID
NONE,53403,53.94,0.233,54.7,0.468,TRAIN,2019,2020,WEAK
PANIC,26224,53.44,0.439,53.76,0.687,TRAIN,2019,2020,WEAK
OVERSOLD,3246,52.99,0.354,53.51,0.657,TRAIN,2019,2020,WEAK
MOMENTUM,27556,51.31,0.217,53.42,0.545,TRAIN,2019,2020,WEAK
OVERBOUGHT,801,62.05,0.926,61.17,1.402,TEST,2020,2021,VALID
OVERSOLD,265,55.85,0.6,58.87,1.352,TEST,2020,2021,VALID
PANIC,3364,55.71,1.001,58.03,1.83,TEST,2020,2021,VALID
MOMENTUM,3844,54.11,0.841,56.79,1.651,TEST,2020,2021,VALID
NONE,5705,55.53,0.641,56.65,1.306,TEST,2020,2021,VALID
OVERBOUGHT,7797,53.61,0.279,57.8,0.709,TRAIN,2020,2021,VALID
NONE,57861,54.01,0.28,54.83,0.551,TRAIN,2020,2021,WEAK
MOMENTUM,31908,51.87,0.359,54.2,0.814,TRAIN,2020,2021,WEAK
PANIC,30219,53.47,0.434,54.1,0.751,TRAIN,2020,2021,WEAK
OVERSOLD,3464,52.94,0.37,53.44,0.616,TRAIN,2020,2021,WEAK
OVERBOUGHT,571,52.36,0.168,54.64,0.116,TEST,2021,2022,WEAK
OVERSOLD,360,57.5,0.942,53.89,0.639,TEST,2021,2022,WEAK
MOMENTUM,4003,49.71,0.031,50.44,0.029,TEST,2021,2022,WEAK
NONE,4936,49.9,-0.05,50.43,0.031,TEST,2021,2022,WEAK
PANIC,4097,49.18,0.026,49.65,0.119,TEST,2021,2022,WEAK
OVERBOUGHT,8598,54.4,0.339,58.12,0.773,TRAIN,2021,2022,VALID
NONE,63566,54.15,0.313,54.99,0.618,TRAIN,2021,2022,WEAK
PANIC,33583,53.7,0.491,54.49,0.859,TRAIN,2021,2022,WEAK
MOMENTUM,35752,52.11,0.411,54.48,0.904,TRAIN,2021,2022,WEAK
OVERSOLD,3729,53.15,0.386,53.82,0.668,TRAIN,2021,2022,WEAK
OVERBOUGHT,911,56.2,0.775,60.92,1.655,TEST,2022,2023,VALID
NONE,6297,55.14,0.68,57.69,1.359,TEST,2022,2023,VALID
MOMENTUM,3330,54.38,0.999,57.45,2.036,TEST,2022,2023,VALID
PANIC,2980,55.03,0.854,56.68,1.685,TEST,2022,2023,VALID
OVERSOLD,374,61.76,0.938,56.42,1.318,TEST,2022,2023,VALID
OVERBOUGHT,9169,54.27,0.329,57.9,0.733,TRAIN,2022,2023,VALID
