Date,Ticker,Close,Daily Return,RSI,MA50,MA200,RollingVol20,MACD,MACD_Signal,MACD_Hist,Panic,Momentum,Volatility,RSI_Overbought,RSI_Oversold,MarketRegime,PrimarySignal,PatternBase,BaseScore,PatternKey,ScoreAdjustment,FinalScore
2026-06-18,AAPL,298.010009765625,0.006960626705947437,39.069563152896485,288.74000061035156,268.19309951782225,0.015623832738604742,1.1804848370259151,3.2156375078989528,-2.0351526708730376,,,NORMAL,,,BULL,NONE,NONE|BULL|NORMAL,8,,0.0,8.0
2026-06-18,AMD,537.3699951171875,0.04856777941973722,53.11612131920642,411.04720123291014,261.1502501678467,0.051462806633059244,29.25657727186632,32.39886917581394,-3.1422919039476227,,MOMENTUM,VOLATILE,,,HIGH_VOLATILITY,MOMENTUM,MOMENTUM|HIGH_VOLATILITY|VOLATILE,55,,0.0,55.0
2026-06-18,AMZN,244.38999938964844,0.029010523745888195,31.123240701584038,257.10020050048826,232.8036501312256,0.0207332414326812,-4.892806621989706,-3.4779760059262737,-1.4148306160634325,,MOMENTUM,VOLATILE,,,SIDEWAYS,MOMENTUM,MOMENTUM|SIDEWAYS|VOLATILE,45,,0.0,45.0
2026-06-18,BAC,56.20000076293945,-0.005837573385518602,80.26319421892262,52.85139976501465,52.23150007247925,0.012462707490557794,1.2656163282368738,0.9246323655556904,0.34098396268118336,,,NORMAL,OVERBOUGHT,,BULL,OVERBOUGHT,OVERBOUGHT|BULL|NORMAL,18,,0.0,18.0
2026-06-18,COP,107.73999786376952,-0.0312022412487154,39.50907138433722,119.07500076293945,105.12340038299561,0.019575368761534633,-2.3270910866704213,-1.501146254714886,-0.8259448319555354,PANIC,,VOLATILE,,,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-18,COST,951.4500122070312,-0.014643911240970198,47.978413438394696,1001.0841967773438,957.9475491333008,0.014366130448241657,-11.497623587987164,-10.424290144679325,-1.0733334433078383,PANIC,,NORMAL,,,SIDEWAYS,PANIC,PANIC|SIDEWAYS|NORMAL,55,,0.0,55.0
2026-06-18,CVX,173.6300048828125,-0.022243478474564538,37.759916408793195,187.00200103759767,171.79415016174318,0.015684393089476466,-2.629521528681124,-1.3350637279907502,-1.294457800690374,PANIC,,VOLATILE,,,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-18,DBC,27.6299991607666,-0.002887041730394113,27.710857216918683,29.830399894714354,25.446299953460695,0.010261783876987233,-0.6178879796497121,-0.38273521818001516,-0.23515276146969694,,,NORMAL,,,SIDEWAYS,NONE,NONE|SIDEWAYS|NORMAL,5,,0.0,5.0
2026-06-18,GDX,82.51000213623047,-0.021929806315033162,41.1376398399261,89.2493994140625,87.07069995880127,0.03776199398606069,-1.8716484025010942,-2.4298338226450404,0.5581854201439462,PANIC,,VOLATILE,,,HIGH_VOLATILITY,PANIC,PANIC|HIGH_VOLATILITY|VOLATILE,65,,0.0,65.0
2026-06-18,GLD,387.1199951171875,-0.003808571701190089,32.62682958726705,418.31379760742186,408.1086001586914,0.01789352002480261,-8.978364380567427,-8.625840569170618,-0.352523811396809,,,NORMAL,,,SIDEWAYS,NONE,NONE|SIDEWAYS|NORMAL,5,,0.0,5.0
2026-06-18,GS,1096.56005859375,-0.00234724968639477,61.14390830003054,973.8673999023438,876.6418521118164,0.022191057174793898,34.11103022296538,31.35446592440537,2.7565642985600114,,,NORMAL,,,BULL,NONE,NONE|BULL|NORMAL,8,,0.0,8.0
2026-06-18,HD,334.2799987792969,0.020764588875174628,63.76486238887367,322.92340087890625,358.6947996520996,0.016266875683704368,3.5607900264000705,0.8241702539739989,2.7366197724260717,,MOMENTUM,VOLATILE,,,SIDEWAYS,MOMENTUM,MOMENTUM|SIDEWAYS|VOLATILE,45,,0.0,45.0
