Timestamp,Ticker,PrimarySignal,MarketRegime,Volatility,PriorityScore,EntryPrice,ExitPrice,HoldingBars,ReturnPct,WinLoss,ExitReason,PatternKey,RawClose,RawReturnPct
2026-06-15 21:55:26,AAPL,PANIC,BULL,VOLATILE,58.0,291.1300048828125,297.239990234375,1,2.1,WIN,TARGET_HIT,AAPL|PANIC|BULL|VOLATILE,297.239990234375,2.1
2026-06-15 21:55:26,AMD,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,511.5700073242187,551.405029296875,1,7.79,WIN,TARGET_HIT,AMD|MOMENTUM|HIGH_VOLATILITY|VOLATILE,551.405029296875,7.79
2026-06-16 08:21:51,^VIX,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,16.809999465942383,16.200000762939453,2,-3.63,LOSS,STOP_HIT,^VIX|PANIC|HIGH_VOLATILITY|VOLATILE,16.200000762939453,-3.63
2026-06-16 08:21:51,ETH-USD,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,1840.3900146484375,1772.0,1,-3.72,LOSS,STOP_HIT,ETH-USD|MOMENTUM|HIGH_VOLATILITY|VOLATILE,1772.0,-3.72
2026-06-16 10:44:26,AMD,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,551.405029296875,511.5700073242187,2,-7.22,LOSS,STOP_HIT,AMD|MOMENTUM|HIGH_VOLATILITY|VOLATILE,511.5700073242187,-7.22
2026-06-16 10:44:26,^VIX,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,16.200000762939453,17.68000030517578,1,9.14,WIN,TARGET_HIT,^VIX|PANIC|HIGH_VOLATILITY|VOLATILE,17.68000030517578,9.14
2026-06-16 14:40:13,ETH-USD,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,1772.0,1799.969970703125,2,1.58,WIN,SIGNAL_FLIP,ETH-USD|MOMENTUM|HIGH_VOLATILITY|VOLATILE,1799.969970703125,1.58
2026-06-16 14:40:13,^VIX,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,17.68000030517578,16.079999923706055,1,-9.05,LOSS,STOP_HIT,^VIX|PANIC|HIGH_VOLATILITY|VOLATILE,16.079999923706055,-9.05
2026-06-17 09:36:30,AAPL,PANIC,BULL,VOLATILE,58.0,291.1300048828125,299.239990234375,2,2.79,WIN,TARGET_HIT,AAPL|PANIC|BULL|VOLATILE,299.239990234375,2.79
2026-06-17 09:36:30,IRDM,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,47.31999969482422,43.45000076293945,1,-8.18,LOSS,STOP_HIT,IRDM|PANIC|HIGH_VOLATILITY|VOLATILE,43.45000076293945,-8.18
2026-06-17 09:36:30,^VIX,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,16.079999923706055,16.40999984741211,1,2.05,WIN,TARGET_HIT,^VIX|PANIC|HIGH_VOLATILITY|VOLATILE,16.40999984741211,2.05
2026-06-17 20:26:58,AMD,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,507.2900085449219,522.5510864257812,1,3.01,WIN,TARGET_HIT,AMD|PANIC|HIGH_VOLATILITY|VOLATILE,522.5510864257812,3.01
2026-06-17 20:26:58,IRDM,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,43.45000076293945,44.01499938964844,1,1.3,WIN,SIGNAL_FLIP,IRDM|PANIC|HIGH_VOLATILITY|VOLATILE,44.01499938964844,1.3
2026-06-18 19:50:35,ETH-USD,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,1756.56005859375,1736.6400146484375,3,-1.13,LOSS,TIME_EXIT,ETH-USD|PANIC|HIGH_VOLATILITY|VOLATILE,1736.6400146484375,-1.13
2026-06-18 19:50:35,MSFT,PANIC,BEAR,VOLATILE,60.0,384.7850036621094,379.3949890136719,3,-1.4,LOSS,TIME_EXIT,MSFT|PANIC|BEAR|VOLATILE,379.3949890136719,-1.4
2026-06-18 19:50:35,GDX,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,84.36000061035156,84.27400207519531,2,-0.1,LOSS,SIGNAL_FLIP,GDX|PANIC|HIGH_VOLATILITY|VOLATILE,84.27400207519531,-0.1
2026-06-18 19:50:35,SLV,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,60.61000061035156,60.345001220703125,2,-0.44,LOSS,SIGNAL_FLIP,SLV|PANIC|HIGH_VOLATILITY|VOLATILE,60.345001220703125,-0.44
2026-06-19 09:14:50,RKLB,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,103.00499725341795,105.06509719848631,1,2.0,WIN,TARGET_HIT,RKLB|PANIC|HIGH_VOLATILITY|VOLATILE,103.00499725341795,0.0
