Timestamp,Ticker,ReturnPct,Equity,PeakEquity,DrawdownPct
2026-06-15 21:55:26,AAPL,2.1,102100.0,102100.0,0.0
2026-06-15 21:55:26,AMD,7.79,110053.59,110053.59,0.0
2026-06-16 08:21:51,^VIX,-3.63,106058.64,110053.59,-3.630004255199669
2026-06-16 08:21:51,ETH-USD,-3.72,102113.26,110053.59,-7.214966817529535
2026-06-16 10:44:26,AMD,-7.22,94740.69,110053.59,-13.914039514749128
2026-06-16 10:44:26,^VIX,9.14,103399.98,110053.59,-6.0457909642020775
2026-06-16 14:40:13,ETH-USD,1.58,105033.7,110053.59,-4.561314174303628
2026-06-16 14:40:13,^VIX,-9.05,95528.15,110053.59,-13.198515377826386
2026-06-17 09:36:30,AAPL,2.79,98193.39,110053.59,-10.776749763456147
2026-06-17 09:36:30,IRDM,-8.18,90161.17,110053.59,-18.075212267041902
2026-06-17 09:36:30,^VIX,2.05,92009.47,110053.59,-16.395757739479464
2026-06-17 20:26:58,AMD,3.01,94778.96,110053.59,-13.879265546903097
2026-06-17 20:26:58,IRDM,1.3,96011.09,110053.59,-12.759692800571068
