Signal,Appearances,AvgReturn10D,RegimeCount,RobustnessScore,Classification,BEAR_WR,BULL_WR,HIGH_VOLATILITY_WR,INSUFFICIENT_HISTORY_WR,SIDEWAYS_WR
OVERBOUGHT,11960,0.84,5,59.34,ROBUST,59.21,57.69,57.27,65.08,57.45
OVERSOLD,5399,0.7,5,54.32,MIXED,52.62,56.6,57.18,49.39,55.79
NONE,89226,0.66,5,54.24,MIXED,52.79,55.45,54.55,53.4,55.0
MOMENTUM,52044,0.93,5,53.5,MIXED,54.12,55.5,51.36,51.35,55.19
PANIC,48941,0.93,5,53.29,MIXED,52.98,55.64,53.62,49.2,55.03
